index,tweet,humor,prejudice_woman,prejudice_lgbtiq,prejudice_inmigrant_race,gordofobia,mean_prejudice
45860,"-Cariño, te veo mejor! -¿Pero cómo? ¡Si estoy más gorda! -Pues eso, que te veo mejor... HASHTAG  ",1,0,0,0,1,3.4
72954,"Pasar de un iPhone 5 a un 6, es como cambiar a tu novia flaca por una gorda.",1,0,0,0,1,3.8
45888,"—Doctor, es cierto que estoy gorda? —¡Muuuuuu! —¡DOCTOR! CONTESTEME —Perdón pensé que las vacas no hablaban.",1,0,0,0,1,4.4
73558,Un hombre le dice a su amigo:  -Mi esposa está en una dieta de tres semanas.  -¿De verdad? ¿Cuánto ha perdido hasta ahora?  -Dos semanas.,1,0,0,0,1,2.4
67909,"Últimamente me estoy haciendo de la vista gorda, también de la cintura, la cara, el abdomen y de todo el cuerpo.",1,0,0,0,1,2.2
73686,"-Mi amor, ¿me veo gorda con este vestido rosa? - ¡LA PUTA MADREEE! MAJIN BOO ESTÁ VIVO... GOKU SALVAMEEEEEEE",1,0,0,0,1,3.6
67716,Era una mujer tan gorda pero tan gorda que cuando se pesaba la balanza marcaba: Continuará...,1,0,0,0,1,3.6
67575,- Que somos?  - GORDAS!!  - Que queremos?  - LA LUCHA CONTRA LA DISCRIMINACION!  - Cuando lo queremos?  - Cuando terminemos de comer esta pi,1,0,0,0,1,3.8
63530,"Salgo a correr todos los días y cada vez me entra menos ropa. Creo que el jugo que tomo para bajar la hamburguesa al volver, no va.",1,0,0,0,1,3.2
64212,"—Mi nieto es víctima del bullying.

—¿Cuál es su nieto?

—El puto hipopótamo que esta allá.",1,0,0,0,1,4.0
64609,"Ya le hable al camionsito que baña a los perros, para que bañe y despulgue a ese perro culazo que te cargas.",1,0,0,0,1,1.4
63253,"- Amor, este vestido hace que me vea gorda? - Amor, esta corbata hace que me vea calvo? - Pero si estas calvo. - EXACTO!!!!",1,0,0,0,1,3.0
64981,"—Tú, gorda. Un café
—Oiga respete. ¿Si usted fuera mesero y yo lo insultara?
—Póngame a prueba
—Tú, idiota. Café
—Aquí no atendemos gordas.",1,0,0,0,1,4.0
65031,"No sos vos, es el gym que no supo sacar eso que crees ser.",1,0,0,0,1,1.8
63059,"-¿Qué me recomiendas hacer?
-Que le des a las series.
-¿De acción, drama o romántica?
-Series de 50 abdominales, gorda.",1,0,0,0,1,3.6
22975,En la séptima habrá una gorda modelo de la que el más guapo del cole se enamorará. Cero dudas.,1,0,0,0,1,3.0
44860,"doctor, aumenté 30k.""
""Vamos a ver... abra la boca y diga muuu...HASHTAG  ",1,0,0,0,1,3.4
62755,"Los leggins son como la energía nuclear, según quien los posean puede ser maravilloso para el planeta o una catástrofe para la humanidad.",1,0,0,0,1,3.2
65226,"No todo lo qe brilla es oro, como por ejemplo... tu cara grasosa  XD  ",1,0,0,0,1,2.8
65545,"-Madurar es entender que en el amor importa más el interior.
-Te cogiste a la gordita, ¿verdad? 
-Juro que no vuelvo a tomar.",1,0,0,0,1,4.4
65719,"—Doctor, últimamente me veo feo y gordo. ¿Qué tengo? —Razón y obesidad.",1,0,0,0,1,3.2
56869,Primero Javier Duarte y ahora Luis Miguel. Si están arrestado por ser gordos ya estuvo que mejor mañana me entrego. 😭,1,0,0,0,1,2.2
45272,"Mamá, ¡en la escuela me dicen gorda! 
–Pobresilla 
-Ayyy, gracias mamá 
-Pobre silla en la que estás sentada.  x D   HASHTAG    RT  ",1,0,0,0,1,3.8
67638,"- No te gustaria volver a los 60?  - No, no los conocí, yo nací en los 90's.  - Me refiero a los kilos, gorda HDP.",1,0,0,0,1,3.4
63479,"Hoy quebre una silla de plástico cuando me senté, es obvio que no aguanto el peso del éxito 😎",1,0,0,0,1,1.4
75940,-Tu prima Selena está bien gorda. -¿Se le nota? -Selenotototota diría yo.,1,0,0,0,1,3.4
77139,"— Hija estas tan gorda que podrías rodar… 

— ¡Abuelo, que grosero! mejor me voy… 

(._.) (|:) (.-.) (:|) (._.) (|:) (.-.) (|:)",1,0,0,0,1,3.6
34682,Engorda un poco más que todavía te quiero.,1,0,0,0,1,3.6
17304,"Yo lo que quiero en la vida es la despreocupación de las gorditas felices para comer cosas que engordan y no tener remordimiento en serio es que ojalá,que seres más afortunados",1,0,0,0,1,2.6
41969," First Dates 29 o  
Me he subido al Roomba ese para que me llevase a la cocina y me ha dicho, bájate gorda.. URL",1,0,0,0,1,3.4
19430,"Abriendo las puertas

Entra una señora gruesa en el metro un chico le comenta a otro: ?has visto que gorda, parece un armario! la señora que lo ha oido, le da una bofetada diciendole: perdona, es que se me ha abierto la puerta

HASHTAG    varios  ",1,0,0,0,1,3.0
26615,"Si una marmota gorda predice 6 semanas más de invierno, pues ya está. Lo dijo la marmota.",1,0,0,0,1,1.8
19804,"- Un aplauso para el asador
- Callate gordo... estamos en la incineración de mamá!

HASHTAG   HASHTAG  ",1,0,0,0,1,2.6
60909,"—Ayer saliendo del antro me chingué dos gringas.
—¿Hiciste un trío?
—No, dos gringas al pastor.
—Pinche gordo por eso no coges.",1,0,0,0,1,2.4
79840,"La vida es como una caja de bombones, no dura mucho para los gordos.",1,0,0,0,1,3.8
79822,me da vergüenza comer en frente de la gente pero también me da vergüenza no comer xq seguro piensan bue jaja y esta gorda q se hace la light 🤣🤣🤣,1,0,0,0,1,2.6
79818,estas tan gordo que cuando pasas por delante de la tele me pierdo los anuncios de antena3,1,0,0,0,1,3.6
79817,"Eres taaaan gorda, ten gordaa, q cuando te sacaste el carne de conducir, en vez de una L, te dieron una XL!",1,0,0,0,1,3.8
8511,Engordarás por culpa del cambio climático y serás feliz. URL,1,0,0,0,1,1.4
41863,"- Amor, estoy gorda?
- Gorda me pones esssta, tanto que si la mando a la escuela en Tupungato, le hacen bullying
 Noticias De Actualidad  ",1,0,0,0,1,3.2
38042,El casting de élite; tu gorda a anunciar embutidos!,1,0,0,0,1,4.0
62017,"_ Señora directora, mi hijo es víctima de bullying!!
- Cuál es su hijo?
_ El gordo pajero ese que está ahí",1,0,0,0,1,3.2
37403,"Soy el vivo ejemplo del dicho ese que dice ""Lo que no mata engorda!"".",1,0,0,0,1,2.2
75966,"- ¿¿Cuál es el colmo de una mujer muy gorda?? - Que se vista de amarillo y la gente le diga ¡¡¡taxii, taxiii!!!",1,0,0,0,1,4.2
63461,Me ven en bikini y me llevan a mundo marino.,1,0,0,0,1,3.4
49421,—¡Que gorda estás! —Tu envidia alimenta mi ego —No jodas. Hasta eso te comes!,1,0,0,0,1,3.8
77347,"-¡Pasen y vean al LEÓN MARINO!
-Paco, que es mi madre nadando en la piscina
-Ya llevo 500€ 
-!PASEN Y VEAN! señoras y señores,¡PASEN Y VEAN!",1,0,0,0,1,4.0
78142,"Era un hombre tan gordo, pero tan gordo, que se tumbaba en la cama y se caía por los dos lados.",1,0,0,0,1,3.6
78381,"—Disculpe señorita, no me quedó el vestido, ¿Puedo cambiarlo? ... —Si, y también puede bajar de peso... ¡Maldita gorda!",1,0,0,0,1,4.2
78628,"Hiba  una gorda en una moto 
- Y yo le grite una vaca!!
- Y ella me dijo tu madre! 
-Y pum choco contra la vaca la pendeja😂😒",1,0,0,0,1,3.4
46884,"Van dos gordas caminando: -Oye, huele a pelo quemado, ¿no? -Bueno, caminemos más despacio...",1,0,0,0,1,3.0
47551,"—Sr. Director, vengo a reclamar por el bullying que le hacen a mi hija.
—¿Y cual es su hija?
— La gorda fea de quinto",1,0,0,0,1,4.0
48145,"—Mi amor, ¿ya se me nota el gimnasio?
—Sí, ¿te lo comiste?",1,0,0,0,1,3.4
47791,"-Me gusta tu disfraz de vaca :) 
-Es de dálmata  
-Ah...",1,0,0,0,1,3.2
48246,"Chistes, cosquillas, palabras dulces, para sacarle una sonrisa a la gorda no necesitas mucho. Ahora intentá sacarle un sandwich de la mano.",1,0,0,0,1,3.6
48342,_x0097_¿Que somos? _x0097_¡GORDOS! _x0097_¿Que queremos? _x0097_¡Empezar la dieta! _x0097_¿Cuando lo queremos? _x0097_¡EL LUNES! _x0097_Ya es lunes !!!! _x0097_EL PRÓXIMO LUNES !!,1,0,0,0,1,3.0
53726,"— No soy gordo, soy de huesos anchos.
— Pues deberías ir al doctor, porque el hueso de la papada se te está saliendo.",1,0,0,0,1,3.6
2439,"- Comencemos la escena. Vamos a rodarla.
- Tampoco estoy tan gorda gilipollas.",1,0,0,0,1,3.2
59331,"Si mi cuerpo está compuesto en un 70% por agua, entonces no estoy gordo, estoy inundado.",1,0,0,0,1,1.2
48197,"Ella frente al espejo: -Estoy gorda, senos caídos, fea! Dime algo pa levantar el ánimo! -Bueno, cariño, la vista la tienes clarita!",1,0,0,0,1,2.8
44539,"—Estoy en un curso para dejar de ser tan ofensivo y volverme mejor persona.
—¿Y cómo vas?
—Mejor que tu dieta, pinche gorda.",1,1,0,0,1,2.1
56691,"Como decía mi abuelo, buscate una flaca y limpia porque gorda y sucia se vuelven solas.",1,1,0,0,1,2.6
60704,"—Amor, ¿vamos al gym?
—¿Estás diciéndome gorda?
—Si no quieres no.
—¿Ah soy huevona?
—Calma.
—¿Ah soy histérica?
—Me voy solo.
—PUTO INFIEL.",1,1,0,0,1,2.1
58626,"¿Qué es ese polvo que traes en la cara, hija? -Cocaína, mamá -¡A mí NO me engañas! ¡Es polvo de donitas, PINCHE GORDA, deja de tragar!",1,1,0,0,1,2.0
58478,"-Mira mamá, esa mujer está demasiado GORDA -No Jaimito, no le digas así... Es una señora con DISCAPACIDAD HORIZONTAL!",1,1,0,0,1,2.8
60038,"Una gorda no te mandará a la temida FRIEND ZONE, jamás!!!! 

  Campaña Cógete Una Gorda  ",1,1,0,0,1,3.2
22487," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION
En que se diferencia una foca de una mujer? 
En que una tiene bigote y grasa y la otra vive en el mar.",1,1,0,0,1,2.4
55937,"—¿Trabajas en el zoo?
—No ¿por qué?
—¿Y esa morsa?
—¡ABUELO DEJA EN PAZ A MI NOVIA!
—¿Hace trucos?
—¡ABUELOO!
—¡QUE APLAUDA, QUE APLAUDA!",1,1,0,0,1,3.2
55179,"-Mi amor, ese vestido te hace ver gorda -Mi amor, estoy desnuda...",1,1,0,0,1,2.4
55050,"—¡Abuelo! Todos me dicen gorda.
—No hagas caso, ¿Tienes tarea?
—Sí.
—Pues no dejes para Marrana lo que puedes hacer oink.
—¡ABUELOO!
—JAJAJÁ",1,1,0,0,1,2.2
54780,"no se vale decir que sos nalgona, cuando estas gorda :v guau",1,1,0,0,1,2.4000000000000004
54355,"¿Abuelo me veo gorda? —No, tienes el cuerpo de una chica porno. —¿Verdad?, que lindo abuelito —Sí, Pornoparardecomer ¡GORDA! JAJAJÁ  —Ay:'(",1,1,0,0,1,3.3
54298,"—Hijo, ¿Eres futbolista? —No, mamá ¿Por qué? —¿Y ESA PELOTA? —JAJAJA ¡YA MAMÁ, DEJA EN PAZ A MI NOVIA!",1,1,0,0,1,2.5
54176,"Lo malo: Es gorda
Lo peor: Usa leggins blancos
Lo horrible: Usa tangas negras.",1,1,0,0,1,2.5
54088,Mi vecina es tan gorda que primero llena la bañera y después abre el agua by MENTION  fb  ,1,1,0,0,1,2.5
1890,"Los borrachos cumplen una función importantísima en la sociedad, sin ellos, las gordas y las feas morirían vírgenes.

Eso debería estar plasmado en la Constitución 😌",1,1,0,0,1,3.9
40551," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION MENTION
Tener tetas porque estas gorda es como decir que yo la tengo grande porque ella tiene 5 años.",1,1,0,0,1,2.6
19757,"* C291C29 estoy gorda?
– No, amor.
+ Dímelo en el oído.C29
– Amor, no estás gorda.
+ Dímelo en el otro oído.
– Coño, me vas a poner a dar tooodaaa esa vuelta?",1,1,0,0,1,2.4
19767,"MENTION - ¿Esa cosa gorda y negra es la mascota del equipo?
- No, es Fabra.",1,0,0,1,1,2.7
41950,tetas de gorda no valen,1,1,0,0,1,2.1
35117,"MENTION Hay quien ve dos tetas gordas, o solo soy yo?",1,1,0,0,1,2.4
42986,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",1,1,0,0,1,3.2
61341,"Todas las gordas tienen algo hermoso , generalmente es una prima.       HASHTAG   HASHTAG  ",1,1,0,0,1,2.0
65148,"—Amor, ¿estoy gorda? — Cómo dices eso mi Buda, perdón, mi vida.",1,1,0,0,1,2.2
61854,"Era  tan gorda q se sacó una foto y decía CONTINUARÁ
By MENTION",1,1,0,0,1,2.2
48794,—¿Eres ganadero? —No. —¿Y qué haces con esa vaca? —¡Papá! deja a mi novia en paz. —JAJAJÁ que nos deje un litro de leche o se va. —¡Ya :( !,1,1,0,0,1,2.3
49122,"Si eres gorda y no tienes tetas, debes ser consciente de que tu existencia es un error.",1,1,0,0,1,3.9
43518,"—Amor, ¿Estoy gorda? —No, tienes el cuerpo común. —¿Común? —Sí, común balón pinche gorda, ¡MÉTETE AL GIMNASIO!",1,1,0,0,1,3.1
49895,"-Amor estoy gorda? -mm a ver rueda para acá, mm rueda para allá... No amor esta bien  x D  ",1,1,0,0,1,2.0
42924,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,1,1,0,0,1,3.3
50035,"—Mamá, en la escuela me dijeron gorda. —No les hagas caso y mejor ya duérmete. MARRANA será otro día. —¡MAMÁAA! —¡Jajajajá!.",1,1,0,0,1,2.4
43579,-Mi gorda mujer consultó con un célebre dietólogo -¿Y cuanto ha perdido? -En tres meses que lleva... cien mil pesos!  fb  ,1,1,0,0,1,2.9
51371,"—Amor soñé horrible, todos me decían gorda y tragona.
—Tranquila mi amor, sólo es una pesadilla.
—¿Una Quesadilla?, ¿dónde, dónde? HASHTAG  ",1,1,0,0,1,1.4
43729,"HASHTAG   Uy mi amor, estás como pollo frito — ¿Sabrosa? — No, llena de grasa, GORDA. HASHTAG   RT",1,1,0,0,1,3.3
51991,"— Dime la verdad ¿tienes otra?
—No.
— ¿enserio que no?
—Que no gorda HP ya no hay mas empanadas. ya se comió 10, no joda!
HASHTAG  ",1,1,0,0,1,2.3
52594,"—¡No mames, mi amor, hoy estás muy delgada!
—Estás viendo una radiografía, pendejo.
—Ya se me hacía raro. ¡Pinche gorda!",1,1,0,0,1,1.8
52686,"-Doctor, me veo más gorda y fea, ¿qué tendré?
-Razón.",1,1,0,0,1,1.2999999999999998
34134,HASHTAG   HASHTAG   HASHTAG   URL,1,0,0,1,0,1.6
80061,-¿Que son 10 palestinos cojidos de la mano? -Una traca,1,0,0,1,0,4.2
80062,"Yo no soy racista, es mas, si tubiera dinero me compraria unos cuantos negros…",1,0,0,1,0,4.4
80065,"HASHTAG   HASHTAG   ¿Porque no bombardean Africa?
Porque no dan al blanco.",1,0,0,1,0,3.4
80077,Cual es la diferencia entre los ascensores españoles y los africanos? No se cual? En España son 400 kg 6 personas y en africa son 400 personas 6 kg.,1,0,0,1,0,3.6
80078,"El otro día probé la comida africana, deje el plato cómo me lo trajeron, VACÍO",1,0,0,1,0,3.6
37537,¿Qué es lo más blanco que tiene un negro? Su amo. HASHTAG   HASHTAG   HASHTAG    Risas  ,1,0,0,1,0,4.8
514,"me cago en maria antonieta, en luis 16, en sus putos muertos y sobretodo, en los putos franceses hijos de puta",1,0,0,1,0,3.2
30770," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION
Van dos negros, un rumano y un moro en un coche. Quien conduce?
La policia",1,0,0,1,0,4.2
25884,"Día 25

Tío, que sepas que eres un racista.
- Yo no soy racista, si los moros tienen hambre, que se coman a los gitanos.

HASHTAG   HASHTAG   HASHTAG   MENTION",1,0,0,1,0,4.6
16718,"🎶Quién vive en la piña debajo del mar
Los negros que no llegan a Gibraltar

HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.2
10563,Idea inclusiva millonaria: crear una Nutella blanca para que los negros no se muerdan los dedos. URL,1,0,0,1,0,3.4
15168,“La prueba de que no Dios no castiga dos veces es que no existen negros con síndrome de down”.,1,0,0,1,0,4.0
32361,¿En África al negro le dicen color carne?,1,0,0,1,0,2.2
22576,"- ¿Porqué los negros son tan rápidos?
+ Porque los lentos están en la cárcel.

HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.2
80060,"Se abre el telón, y se ve muchos niños con pijama a rayas en un campo de concentracion, como se llama la pelicula? A todo gas",1,0,0,1,0,4.0
3792,"""Sabías que los negros se asustan cuando tienen diarrea porque piensan que se están derritiendo""",1,0,0,1,0,2.8
629,El 98% de los negros disfrutan del sexo en la ducha. El otro 2% no han estado en la cárcel...aún.,1,0,0,1,0,4.2
13639," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION
Un niño blanco le dice a su amigo negro:
-Yo en mi casa como a la carta, siempre pido lo que me da la gana.
El negro le contesta:
-En la mia también comemos a la carta, quien saca la mas grande come ese dia.",1,0,0,1,0,3.6
31778,"MENTION Ese chiste estuvo tan negro, que ya estuvo dos veces en la carcel y no conocio a su papa",1,0,0,1,0,4.0
18393," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION MENTION
Los negros no deberían competir en las olimpiadas, tienen ventaja ya que corren más rápido que las personas.",1,0,0,1,0,4.2
30388,"¿Porqué los negros son zurdos?
Porque no tienen derechos. HASHTAG   HASHTAG  ",1,0,0,1,0,3.6
1701,"HASHTAG   - que cae mas rapido un negro o un jufio?
- nose 
- la mierda cae mas rapida que las cenisas",1,0,0,1,0,4.4
19211,"+ Oye negro, ya se por que no comes chocolate.
– ¿Por qué?
+ Porque te puedes morder los dedos. URL",1,0,0,1,0,2.6
3629,"¿Qué hace un negro cagando?
 
— Se clona.",1,0,0,1,0,3.0
30391,Ser negro y no poder correr porque piensan que robaste algo.,1,0,0,1,0,4.0
41810," STRP   HASHTAG   HASHTAG   HASHTAG   MENTION MENTION
Sabéis porqué los negros huelen mal?
Para que los ciegos tambien los puedan odiar.",1,0,0,1,0,4.6
12690,"Los negros no deberían competir en las Olimpiadas, tienen ventaja ya que corren más rápido que las personas.",1,0,0,1,0,4.4
39221,"Yo no soy racista, mis mejores esclavos son negros. HASHTAG   HASHTAG   HASHTAG    Risas    Puto Lunes  ",1,0,0,1,0,4.8
26698,El 98% de los negros disfrutan del sexo en la ducha. El otro 2% aún no están en la cárcel.,1,0,0,1,0,3.4
39711,"Día 69

¿Porque los judíos siempre van de vacaciones a la playa?
-Porque odian el campo.

HASHTAG    HASHTAG   HASHTAG  ",1,0,0,1,0,3.6
39341,"Día 49

Que hace un judío encima de una montaña de ceniza?
- Una foto familia

HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.2
80058,"Pregunta seria: si un negro mira su sombra, ¿está mirando su reflejo?",1,0,0,1,0,2.6
80028,-¿Quién cae primero de un edificio de 30 plantas un judio o un negro? ¿y a quien le importa?,1,0,0,1,0,3.4
79940,"HASHTAG   - que cae mas rapido un negro o un jufio?
- nose 
- la mierda cae mas rapida que las cenisas",1,0,0,1,0,3.4
79668,Que es un negro en la nieve? Un blanco perfecto,1,0,0,1,0,3.8
79669,Sabes cual es el colmo de un negro que no le elijan en los juegos del hambre,1,0,0,1,0,4.0
79675,Viste el asesino? Si- y como era? Una persona normal! Normal?? Si normal-- O sea q no era NEGRO xD 'HASHTAG  ,1,0,0,1,0,4.0
79683,"Como haces para que un estadio lleno de africanos haga una ola?

- pásales una bolsa de pan Bimbo por encima.  Chsites Racistas  ",1,0,0,1,0,3.8
79687,"""""""Sabías que los negros se asustan cuando tienen diarrea porque piensan que se están derritiendo""""""",1,0,0,1,0,3.8
79698,El chocolate blanco se inventó para que los negros también se pudieran ensuciar.,1,0,0,1,0,2.4
79705,-¿Por qué a los judios no les gusta la coca-cola? -Porque lleva GAS,1,0,0,1,0,3.8
79706,"El Kebab cuanto más guarro mejor, y cuanto más imbécil sea el pakistaní que te atiende mejor. Y si se rasca el culo y luego toca el pan de pita es increíblemente mejor, y si el suelo del local está enganchifoso ya es el acabose de la perfección.",1,0,0,1,0,3.0
79707,"has probado el plato estrella de africa?
-ellos tampoco",1,0,0,1,0,3.8
79709,"Yo no soy racista, es mas, si tubiera dinero me compraria unos cuantos negros...",1,0,0,1,0,4.8
79713,"¿Por qué los negros no pueden ser astronautas?
-Porque las pruebas con simios ya se acabarón.",1,0,0,1,0,4.6
79718,Sabian que un negro en la nieve es el blanco perfecto x'D? jajajajaj HASHTAG   jejee,1,0,0,1,0,3.4
79719,"HASHTAG   ¿Qué le dice un nëgro a otro nëgro? R= Nada, los negros no son gënte",1,0,0,1,0,5.0
79721,"Yo: no hay mucha gente x la calle hoy, no?
Remisero: na, son todos negros los que hay.",1,0,0,1,0,3.0
79734,En qué se diferencian un africano (inserte aquí su grupo vulnerado) y el copyright? El copyright tiene derechos.,1,0,0,1,0,4.2
79746,el otro día vi a un negro con un cohe. Pense que era el mio y me fui corriendo al garaje. Que susto! El negro seguía encadenado,1,0,0,1,0,4.6
79747,When te haces un kfecito negro Y empieza a rapear,1,0,0,1,0,1.6
79935,Quien gana si un negro y un judío se tiran desde un 10 piso? La sociedad,1,0,0,1,0,4.8
79931,¿Cual es la diferencia de una niña musulamana y una paloma?... en que la paloma volo completa,1,0,0,1,0,4.2
79912,“Que tienen en común un chino y un estudiante? Que ambos no subsisten sin arroz”,1,0,0,1,0,2.6
79911,"Si es triste terminar una relación aquí, imagínate en China, que a cualquiera que mires te recuerda a tu ex.",1,0,0,1,0,3.0
79910,Quédate con quien te diga: Te quiero más que los restaurantes chinos a los gatos,1,0,0,1,0,2.0
79791,los negros no se convierten en angeles cuando mueren porque si se ponen alas son murcielagos,1,0,0,1,0,3.0
62360,"Un negro a estudiar derecho: -Señor, q rama va a escoger? -Ninguna rama, hijoeputa, pupitre como a todos!",1,0,0,1,0,2.8
79788,"Lo inmigrantes del norte no entienden sus derechos ?

Es fácil ! Tienen los mismos derechos que en Venezuela 🤣😂
-ninguno",1,0,0,1,0,4.2
79760,-¿En que se diferencian las pizzas y los judios? -En que las pizzas no gritan cuando las metes en el horno,1,0,0,1,0,4.4
79757,"A mi me caen mal todas las personas, da igual que sean negros, chinos, moros o normales",1,0,0,1,0,3.8
79756,Que hacen 30 negros parados contra una pared blanca?.. Un codigo de barras,1,0,0,1,0,2.8
79754,"No te sientas diferente, da igual si eres negro, amarillo o normal.",1,0,0,1,0,3.8
79751,¿Por qué los musulmanes no comen cerdo? Porque sería canibalismo,1,0,0,1,0,3.8
79750,En que diferencias a un negro y una bicicleta? En que al negro cuando le pones la cadena llora,1,0,0,1,0,4.6
79787,Si Pedrito tiene 5 manzanas y juan le roba 2 ¿De qué color es Juan?,1,0,0,1,0,4.0
79664,"+ Que es un negro con 8 brazos? '- No sé, pero recogería el algodón de puta madre",1,0,0,1,0,4.4
61870,"¿Porqué los judíos no se postulan para diputados, ni senadores? Porque no quieren entrar a la cámara.",1,0,0,1,0,4.2
61672,"*Dos chinos hablando* —Ayel me complé un coche nuevo —¿Sí? —Sí mila, es ese —¿Y que malca es? —Un Alfa —Lomeo? —Lo meas y te lompo el cuello",1,0,0,1,0,2.6
30240,"Día 60. El otro día se me escapó un pedo en frente de mi amigo judío. Le dije: ""Un poco de gas no mata a nadie"". Ahora no me habla

HASHTAG   HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.4
7000,"¿Si Estados Unidos y España tuvieran un hijo retrasado, se llamaría Latinoamérica?

HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.4
18263,Que sale cuando procrean un negro y un pulpo? Ni puta idea pero seguro que recoje algodon que flipas.,1,0,0,1,0,3.6
40461,Para halloween: Vendo disfraz del negro de whatsapp URL,1,0,0,1,0,2.8
17490,Mi humor es tan negro que puedo escucharlo pedir ayuda porque lo están asfixiando.,1,0,0,1,0,4.4
16144," First Dates 22 S  
Hay que tener cuidado con todo lo que venden en los chinos,a veces te hacen el lío,con una banda de mister simpático por ejemplo",1,0,0,1,0,2.6
29943,"MENTION ""jajaja es negro rianse""
Al menos has un chiste racista o algo URL",1,0,0,1,0,2.2
38467,"MENTION - ¿Qué es lo bueno de ser negro?
+ Que no tendrás coronavirus porque nadie se hacercará a ti
HASHTAG  ",1,0,0,1,0,4.4
22396,"*usar el negro*

En ropa / como caballos de carga en 1600 URL",1,0,0,1,0,3.8
33229,"- ¿Por qué los negros huelen mal?
+ Para que los ciegos también puedan escupirles.

HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,4.4
14682,"La gente se piensa que tengo odio a los negros, eso es mentira, me encantan cómo limpian",1,0,0,1,0,4.4
6748,"No se sientan diferentes, da lo mismo si sos negro, judio o normal. HASHTAG   HASHTAG  ",1,0,0,1,0,3.6
23927,"Caminando por la calle, vi a un negro cargando un televisor y pensé ""se parece al mío"" pero el mío está en casa limpiando mis zapatos.",1,0,0,1,0,4.6
15730,"¿Por qué los negros huelen mal?

Para que los ciegos también puedan odiarlos.",1,0,0,1,0,4.2
35672,"- ¿Qué es lo malo de ser peruano?
+ Exacto, ser peruano

HASHTAG   HASHTAG   HASHTAG   HASHTAG  ",1,0,0,1,0,3.4
8331,"Basta de racismo, basta de ""blancos y negros"", desde ahora seamos todos verdes. 
Y ya me voy que hay un verde oscuro mirándome el celular.",1,0,0,1,0,3.8
92084,Cuenta la leyenda que metrovalencia era blanco URL,1,0,0,1,0,1.2
47325,"El gallego está limpiando un espejo y dice: O limpias tú o limpio yo!
HASHTAG  ",1,0,0,1,0,2.2
77119,". Por que a los gallegos no les gusta subirse a la
planta alta de los buses de dos pisos?
… porque el piso superior no tiene chofer.",1,0,0,1,0,2.2
76887,"- Por que razòn los perros gallegos son chatos ? 
- Es que les da por perseguir a los coches estacionados.",1,0,0,1,0,2.6
76765,"""Anota mi teléfono, Manolo: tres cuarenta y seis, nueve cero, cuatro siete"" Y el gallego apuntó ""46 46 46 000000000 7777""",1,0,0,1,0,2.8
